 2.07617 , -97.5  , 0      
 1.323345 , -92.5  , 1      
 0.6470452 , -87.5  , 2      
 0.3902882 , -82.5  , 3      
 0.2816387 , -77.5  , 4      
 0.2405622 , -72.5  , 5      
 0.218464 , -67.5  , 6      
 0.2057217 , -62.5  , 7      
 0.2059855 , -57.5  , 8      
 0.2103505 , -52.5  , 9      
 0.2152196 , -47.5  , 10     
 0.2230453 , -42.5  , 11     
 0.2251568 , -37.5  , 12     
 0.228313 , -32.5  , 13     
 0.2298985 , -27.5  , 14     
 0.2329545 , -22.5  , 15     
 0.2356542 , -17.5  , 16     
 0.2356346 , -12.5  , 17     
 0.2345076 , -7.5   , 18     
 0.2332728 , -2.5   , 19     
 0.236514 , 2.5    , 20     
 0.237087 , 7.5    , 21     
 0.2406881 , 12.5   , 22     
 0.247635 , 17.5   , 23     
 0.2497463 , 22.5   , 24     
 0.2578996 , 27.5   , 25     
 0.2774983 , 32.5   , 26     
 0.2985815 , 37.5   , 27     
 0.3136394 , 42.5   , 28     
 0.342029 , 47.5   , 29     
 0.389391 , 52.5   , 30     
 0.4180287 , 57.5   , 31     
 0.4510517 , 62.5   , 32     
 0.4634074 , 67.5   , 33     
 0.4541808 , 72.5   , 34     
 0.3935295 , 77.5   , 35     
 0.3219752 , 82.5   , 36     
 0.247784 , 87.5   , 37     
 0.1888318 , 92.5   , 38     
 0.1327987 , 97.5   , 39     
